outfit_id,item_id
100002074,100002074_1
100002074,100002074_2
100002074,100002074_3
100002074,100002074_4
100002074,100002074_5
100002074,100002074_7
100010727,100010727_1
100010727,100010727_2
100010727,100010727_4
100010727,100010727_5
100010727,100010727_6
100010727,100010727_7
100010727,100010727_8
100029003,100029003_1
100029003,100029003_2
100029003,100029003_3
100050716,100050716_1
100050716,100050716_2
100050716,100050716_3
100050716,100050716_5
100056647,100056647_1
100056647,100056647_3
100056647,100056647_4
100056647,100056647_7
100060207,100060207_1
100060207,100060207_2
100060207,100060207_3
100060207,100060207_4
100060207,100060207_5
100060207,100060207_6
100077218,100077218_1
100077218,100077218_2
100077218,100077218_3
100077218,100077218_4
100077218,100077218_5
100077218,100077218_7
100077218,100077218_8
100079699,100079699_1
100079699,100079699_3
100079699,100079699_5
100079699,100079699_7
100079699,100079699_8
100089693,100089693_1
100089693,100089693_2
100089693,100089693_3
100095342,100095342_1
100095342,100095342_2
100095342,100095342_3
100095342,100095342_4
100095342,100095342_5
100095342,100095342_6
100099673,100099673_1
100099673,100099673_2
100099673,100099673_3
100099673,100099673_4
100099673,100099673_5
100099673,100099673_6
100099673,100099673_7
100099673,100099673_8
100111991,100111991_1
100111991,100111991_2
100111991,100111991_3
100111991,100111991_4
100111991,100111991_5
100111991,100111991_6
100111991,100111991_7
100111991,100111991_8
100118405,100118405_1
100118405,100118405_2
100118405,100118405_3
100118405,100118405_4
100118405,100118405_5
100119147,100119147_2
100119147,100119147_4
100119147,100119147_6
100119147,100119147_7
100119331,100119331_1
100119331,100119331_2
100119331,100119331_3
100119331,100119331_4
100119331,100119331_5
100164421,100164421_1
100164421,100164421_2
100164421,100164421_3
100164421,100164421_4
100164421,100164421_7
100167523,100167523_1
100167523,100167523_2
100167523,100167523_3
100167523,100167523_4
100167523,100167523_5
100167523,100167523_6
100167523,100167523_7
100170607,100170607_1
100170607,100170607_3
100170607,100170607_4
100170607,100170607_5
100170607,100170607_7
100173896,100173896_1
100173896,100173896_2
100173896,100173896_3
100173896,100173896_4
100173896,100173896_5
100173896,100173896_6
100176564,100176564_1
100176564,100176564_2
100176564,100176564_3
100176564,100176564_5
100176564,100176564_6
100176564,100176564_7
100176564,100176564_8
100186518,100186518_3
100186518,100186518_4
100186518,100186518_5
100186518,100186518_6
100191721,100191721_1
100191721,100191721_4
100191721,100191721_5
100191721,100191721_6
100205676,100205676_1
100205676,100205676_2
100205676,100205676_4
100205676,100205676_5
100205676,100205676_6
100219114,100219114_1
100219114,100219114_2
100219114,100219114_4
100219114,100219114_5
100219114,100219114_6
100219114,100219114_7
100232826,100232826_1
100232826,100232826_2
100232826,100232826_4
100232826,100232826_6
100232826,100232826_7
100245868,100245868_3
100245868,100245868_4
100245868,100245868_5
100245868,100245868_6
100277667,100277667_1
100277667,100277667_2
100277667,100277667_4
100283482,100283482_1
100283482,100283482_2
100283482,100283482_3
100283482,100283482_5
100283482,100283482_7
100285829,100285829_2
100285829,100285829_4
100285829,100285829_5
100285829,100285829_6
100285829,100285829_7
100285829,100285829_8
100294930,100294930_1
100294930,100294930_2
100294930,100294930_3
100294930,100294930_4
100294930,100294930_5
100294930,100294930_6
100296896,100296896_1
100296896,100296896_2
100296896,100296896_3
100296896,100296896_4
100296896,100296896_5
100296896,100296896_6
100296896,100296896_7
100302025,100302025_1
100302025,100302025_2
100302025,100302025_3
100302025,100302025_5
100302025,100302025_7
100330091,100330091_1
100330091,100330091_2
100330091,100330091_3
100330091,100330091_4
100330091,100330091_5
100330091,100330091_7
100330191,100330191_1
100330191,100330191_3
100330191,100330191_5
100330191,100330191_7
100333714,100333714_1
100333714,100333714_2
100333714,100333714_3
100346741,100346741_1
100346741,100346741_2
100346741,100346741_4
100346741,100346741_5
100346741,100346741_6
100346741,100346741_7
100346741,100346741_8
100347538,100347538_1
100347538,100347538_2
100347538,100347538_4
100347538,100347538_6
100364440,100364440_1
100364440,100364440_2
100364440,100364440_4
100364440,100364440_5
100364440,100364440_8
100404521,100404521_3
100404521,100404521_4
100404521,100404521_6
100443358,100443358_1
100443358,100443358_2
100443358,100443358_4
100443358,100443358_5
100443358,100443358_6
100445477,100445477_1
100445477,100445477_2
100445477,100445477_3
100445477,100445477_4
100445477,100445477_5
100445477,100445477_6
100445477,100445477_7
100445477,100445477_8
100475925,100475925_2
100475925,100475925_3
100475925,100475925_4
100475925,100475925_5
100475925,100475925_6
100523409,100523409_1
100523409,100523409_2
100523409,100523409_3
100523409,100523409_4
100523409,100523409_5
100523409,100523409_7
100534615,100534615_1
100534615,100534615_2
100534615,100534615_3
100534615,100534615_4
100534615,100534615_6
100534615,100534615_7
100534615,100534615_8
100566397,100566397_1
100566397,100566397_2
100566397,100566397_3
100566397,100566397_4
100566397,100566397_5
100585216,100585216_2
100585216,100585216_3
100585216,100585216_4
100585216,100585216_7
100606145,100606145_2
100606145,100606145_3
100606145,100606145_7
100609523,100609523_1
100609523,100609523_3
100609523,100609523_6
100609523,100609523_7
100624869,100624869_1
100624869,100624869_5
100631293,100631293_1
100631293,100631293_2
100631293,100631293_3
100631293,100631293_4
100631293,100631293_5
100648742,100648742_1
100648742,100648742_2
100648742,100648742_4
100658683,100658683_1
100658683,100658683_3
100658683,100658683_7
100669789,100669789_1
100669789,100669789_2
100669789,100669789_3
100669789,100669789_4
100669789,100669789_5
100669789,100669789_6
100669789,100669789_7
100669789,100669789_8
100675259,100675259_1
100675259,100675259_2
100675259,100675259_3
100675259,100675259_4
100675259,100675259_5
100675259,100675259_6
100675259,100675259_7
100675259,100675259_8
100705014,100705014_1
100705014,100705014_3
100705014,100705014_4
100705014,100705014_5
100705014,100705014_6
100705014,100705014_7
100721059,100721059_2
100721059,100721059_3
100721059,100721059_4
100721059,100721059_5
100721059,100721059_6
100722211,100722211_1
100722211,100722211_3
100722211,100722211_4
100722211,100722211_5
100722211,100722211_6
100722211,100722211_7
100722211,100722211_8
100728995,100728995_1
100728995,100728995_2
100728995,100728995_3
100728995,100728995_4
100728995,100728995_5
100728995,100728995_6
100740998,100740998_1
100740998,100740998_2
100740998,100740998_3
100740998,100740998_4
100740998,100740998_5
100745439,100745439_1
100745439,100745439_2
100745439,100745439_3
100745439,100745439_4
100761192,100761192_2
100761192,100761192_3
100767852,100767852_1
100767852,100767852_3
100767852,100767852_5
100767852,100767852_6
100774542,100774542_1
100774542,100774542_5
100774542,100774542_6
100774542,100774542_7
100786280,100786280_1
100786280,100786280_2
100786280,100786280_3
100786280,100786280_6
100815191,100815191_1
100815191,100815191_2
100824468,100824468_3
100824468,100824468_4
100824468,100824468_7
100824468,100824468_8
100832916,100832916_2
100832916,100832916_3
100832916,100832916_5
100832916,100832916_6
100832916,100832916_7
100832916,100832916_8
100841439,100841439_2
100841439,100841439_3
100841439,100841439_4
100841439,100841439_5
100862002,100862002_1
100862002,100862002_2
100862002,100862002_3
100862002,100862002_4
100863944,100863944_2
100863944,100863944_6
100863944,100863944_7
100863944,100863944_8
100909042,100909042_1
100909042,100909042_2
100909042,100909042_3
100909042,100909042_4
100926139,100926139_1
100926139,100926139_2
100926139,100926139_3
100928249,100928249_1
100928249,100928249_4
100937795,100937795_1
100937795,100937795_3
100937795,100937795_4
100945650,100945650_1
100945650,100945650_6
100946606,100946606_1
100946606,100946606_2
100946606,100946606_3
100946606,100946606_8
100950405,100950405_3
100950405,100950405_4
100950405,100950405_5
100950405,100950405_6
100950405,100950405_7
100950405,100950405_8
100963093,100963093_1
100963093,100963093_2
100963093,100963093_4
100963093,100963093_5
100985962,100985962_1
100985962,100985962_2
100985962,100985962_3
100985962,100985962_4
100985962,100985962_5
100985962,100985962_6
100985962,100985962_7
100985962,100985962_8
100999655,100999655_2
100999655,100999655_3
100999655,100999655_4
100999655,100999655_5
100999655,100999655_6
100999655,100999655_7
100999655,100999655_8
101037004,101037004_1
101037004,101037004_2
101037004,101037004_3
101037004,101037004_4
101037004,101037004_5
101055065,101055065_3
101058733,101058733_1
101058733,101058733_2
101058733,101058733_3
101058733,101058733_4
101058733,101058733_5
101058733,101058733_6
101058733,101058733_7
101064786,101064786_1
101064786,101064786_2
101064786,101064786_3
101064786,101064786_4
101064786,101064786_5
101064786,101064786_6
101064786,101064786_7
101092542,101092542_1
101092542,101092542_4
101092542,101092542_6
101092542,101092542_7
101134111,101134111_1
101134111,101134111_2
101134111,101134111_4
101180451,101180451_1
101180451,101180451_2
101180451,101180451_3
101180451,101180451_4
101180451,101180451_5
101180451,101180451_6
101180451,101180451_7
101204936,101204936_1
101204936,101204936_3
101204936,101204936_4
101204936,101204936_5
101204936,101204936_6
